mu_GeV,alpha1_inv,alpha2_inv,alpha3_inv,alpha1,alpha2,alpha3
302041.00188575784,53.781573816234726,32.31136114938856,17.585489150720413,0.018593728837629067,0.030948866418118177,0.05686506593187564
331181.9887208225,53.72070604487265,32.33717619132618,17.68977202326551,0.018614796297813076,0.030924159675643867,0.056529841011224144
363134.50481323746,53.65984167408267,32.36299607255093,17.794044887834964,0.01863591037174068,0.030899487728460413,0.056198576900503255
398169.80716640205,53.59898066323356,32.3888207377708,17.898307867077076,0.018657071228333155,0.0308748505571193,0.055871203435909345
436585.32372314105,53.538122972399634,32.41465013265434,18.002561083605006,0.018678279037080314,0.030850248141120782,0.055547652101050414
478707.1783440928,53.477268562369446,32.44048420385237,18.10680465160042,0.01869953396803953,0.03082568045890166,0.05522785600448902
524892.9593966011,53.41641739462082,32.46632289896168,18.21103867906874,0.018720836191846568,0.030801147487878325,0.0549117498250867
575534.7554577197,53.35556943128077,32.49216616646086,18.315263275929333,0.0187421858797318,0.03077664920451571,0.05459926974209761
631062.4839025458,53.294724635120595,32.51801395570702,18.419478551139647,0.01876358320352427,0.030752185584338145,0.05429035340080939
691947.5406355469,53.23388296954431,32.54386621692113,18.523684611643137,0.018785028335658156,0.03072775660195074,0.0539849398737574
758706.8019488258,53.17304439857393,32.56972290116801,18.627881562444188,0.018806521449180356,0.030703362231065782,0.05368296961991145
831907.0124805976,53.11220888683517,32.59558396033681,18.73206950668417,0.018828062717758068,0.030679002444528286,0.05338438444525148
912169.5965249469,53.05137639954361,32.62144934712214,18.83624854571675,0.01884965231568625,0.030654677214340877,0.05308912746468267
1000175.9335378726,52.99054690249129,32.64731901500571,18.940418779180597,0.01887129041789501,0.030630386511687813,0.05279714306524231
1096673.142625396,52.92972036203378,32.67319291823866,19.044580305068,0.018892977199956928,0.03060613030695831,0.05250837687055186
1202480.4251204503,52.868896745077485,32.69907101182433,19.148733219788106,0.018914712838094316,0.030581908569769136,0.052222775706468674
1318496.019093059,52.808076019067485,32.724953251501546,19.252877618223636,0.018936497509186447,0.03055772126898657,0.0519402875678937
1445704.8248333067,52.747258151975686,32.75083959372848,19.35701359378032,0.018958331390776646,0.03053356837274767,0.05166086158669197
